title,link,source,scraped_at
Luxury to high street jeans: can you tell the difference?,https://www.theguardian.com/fashion/2026/apr/17/luxury-to-high-street-jeans-can-you-tell-the-difference,The Guardian,2026-04-22 02:02
‘The antidote to Brat’ – why pointelle is having a moment,https://www.theguardian.com/fashion/2026/apr/16/the-antidote-to-brat-why-childlike-pointelle-is-enjoying-a-moment-of-exposure,The Guardian,2026-04-22 02:02
Stella McCartney launches sustainable collection with H&M,https://www.theguardian.com/fashion/2026/apr/16/stella-mccartney-launches-sustainable-collection-with-h-and-m-retail-high-street,The Guardian,2026-04-22 02:02
Jess Cartner-Morley on fashion: how to make sandwich dressing your style bread and butter,https://www.theguardian.com/fashion/2026/apr/15/jess-cartner-morley-on-fashion-how-to-make-sandwich-dressing-your-style-bread-and-butter,The Guardian,2026-04-22 02:02
Sali Hughes on beauty: how to repair your hair in three minutes – no scissors or faffing required,https://www.theguardian.com/fashion/2026/apr/15/sali-hughes-on-beauty-how-to-repair-your-hair-in-three-minutes-no-scissors-or-faffing-required,The Guardian,2026-04-22 02:02
‘It’s a test of courage wearing a hot-pink cheongsam’: How I learned to wear my grandma’s heirlooms,https://www.theguardian.com/fashion/ng-interactive/2026/apr/11/fashion-hot-pink-cheongsam-grandma-heirloom,The Guardian,2026-04-22 02:02
‘Casual without being sloppy’: why flannel shirts are making a comeback,https://www.theguardian.com/fashion/2026/apr/11/casual-without-being-sloppy-why-flannel-shirts-are-making-a-comeback,The Guardian,2026-04-22 02:02
‘Butter Birkin’: popcorn plastic It bag in demand by Devil Wears Prada fans,https://www.theguardian.com/fashion/2026/apr/10/popcorn-plastic-bag-devil-wears-prada,The Guardian,2026-04-22 02:02
Dolce & Gabbana says co-founder Stefano Gabbana has quit as chair,https://www.theguardian.com/fashion/2026/apr/10/dolce-and-gabbana-says-co-founder-stefano-gabbana-quit-as-chair-at-start-of-year,The Guardian,2026-04-22 02:02
Anna Wintour’s Vogue cover is more than a cameo – it’s a power play,https://www.theguardian.com/fashion/2026/apr/09/anna-wintours-vogue-cover-is-more-than-a-cameo-its-a-power-play,The Guardian,2026-04-22 02:02
"Jo Malone ‘surprised and sad’ after being sued for £200,000 for using her name on fragrances",https://www.theguardian.com/fashion/2026/apr/09/jo-malone-surprised-sad-sued-for-using-name-on-zara-fragrances,The Guardian,2026-04-22 02:02
From fat transplants to LED mittens: how the fear of ‘old lady hands’ mobilised the beauty industry,https://www.theguardian.com/fashion/2026/apr/09/from-fat-transplants-to-led-mittens-how-the-fear-of-old-lady-hands-mobilised-the-beauty-industry,The Guardian,2026-04-22 02:02
Sali Hughes on beauty: delicious designer scents without the exorbitant price tag,https://www.theguardian.com/fashion/2026/apr/08/sali-hughes-beauty-affordable-designer-perfume-fragrance-scents,The Guardian,2026-04-22 02:02
Anna Wintour shares Vogue cover with Hollywood doppelganger Meryl Streep,https://www.theguardian.com/fashion/2026/apr/07/former-vogue-editor-anna-wintour-cover-meryl-streep,The Guardian,2026-04-22 02:02
"V&A Dundee celebrates the history of the catwalk, from discreet salons to today’s extravaganzas",https://www.theguardian.com/fashion/2026/apr/05/va-dundee-celebrates-the-history-of-the-catwalk-from-discreet-salons-to-todays-extravaganzas,The Guardian,2026-04-22 02:02
‘Linen is meaningful in Belfast’: how an old industry is weaving the city a new identity,https://www.theguardian.com/fashion/2026/apr/03/linen-belfast-fabric-revival-weaving-new-identity,The Guardian,2026-04-22 02:02
Stella McCartney granted permission for £5m home in Scottish Highlands,https://www.theguardian.com/fashion/2026/apr/01/stella-mccartney-granted-permission-for-home-in-scottish-highlands,The Guardian,2026-04-22 02:02
"Jess Cartner-Morley on fashion: spring has sprung, so put away your coat and banish the black tights",https://www.theguardian.com/fashion/2026/apr/01/jess-cartner-morley-on-fashion-spring-dressing,The Guardian,2026-04-22 02:02
Sali Hughes on beauty: new foundation launches come with a lot of hype. Do they deserve it?,https://www.theguardian.com/fashion/2026/apr/01/sali-hughes-on-beauty-new-foundation-launches,The Guardian,2026-04-22 02:02
Australian fashion week: designer Toni Maticevski to show for first time in 10 years,https://www.theguardian.com/fashion/2026/mar/30/australian-fashion-week-2026-lineup-location-toni-maticevski,The Guardian,2026-04-22 02:02
What It Takes to Dress the ‘Devil’,https://www.nytimes.com/2026/04/20/style/the-devil-wears-prada-2-press-tour-fashion.html,NYT Fashion,2026-04-22 02:02
Why Fashion Suddenly Loves Older Women,https://www.nytimes.com/2026/04/19/style/age-women-fashion.html,NYT Fashion,2026-04-22 02:02
What’s the Best Way to Wear Boots in Warm Weather?,https://www.nytimes.com/2026/04/20/fashion/boots-spring-summer.html,NYT Fashion,2026-04-22 02:02
"Your Guide to the 2026 Met Gala: Theme, Hosts, Dress Code and More",https://www.nytimes.com/article/met-gala-2026-theme-hosts-guide.html,NYT Fashion,2026-04-22 02:02
The Underground Campaign Calling for a Boycott of ‘the Bezos Met Gala’,https://www.nytimes.com/2026/04/17/style/bezos-met-gala-boycott-posters.html,NYT Fashion,2026-04-22 02:02
13 Garments That Altered the History of Clothing,https://www.nytimes.com/interactive/2026/04/17/t-magazine/most-important-fashion-outfits.html,NYT Fashion,2026-04-22 02:02
Mamdani Says He Plans to Skip the Met Gala,https://www.nytimes.com/2026/04/16/style/met-gala-mayor-mamdani-nyc.html,NYT Fashion,2026-04-22 02:02
Designing for a Pop Star (Who Happens to Be Anne Hathaway),https://www.nytimes.com/2026/04/17/style/mother-mary-costumes-iris-van-herpen.html,NYT Fashion,2026-04-22 02:02
Love Clothes? How About Their Prices?,https://www.nytimes.com/2026/04/16/style/fashion-spending-habits-designer-shopping-value.html,NYT Fashion,2026-04-22 02:02
